timestamp,frame_id,uid,x,y,w,h,last_x,last_y,last_w,last_h,last_ts,last_slow_ts,last_source,state,frames_matched,frames_missing,confidence,hash_history,ttl,fast_miss_count,vx,vy,vw,vh,score,score_brut,fp_penalty,transition_density,s_td,density_raw,s_dens,cc_raw,s_cc,s_hreg,row_fill,tiers_active,vproj,s_vp,s_pf,bg_score
128635.936586,36,3,524,484,197,26,522,484,190,26,128635.8882803,128635.6081306,fast,MaskState.CONFIRMED,5,0,1.0,144963474236373763|434041176480348415|3235052799|13696255|12648191,500,0,46.412,13.923,125.311,0.0,0.6989,0.6989,0.15,0.411,0.87,0.4899,0.9797,3,0.375,1.0,1.0,3,0.1232,0.5679,0.5987,0.9103
128635.987197,37,2,108,454,164,52,108,454,164,52,128635.6081306,128635.6081306,slow,MaskState.CONFIRMED,11,9,0.2227,283726501646442429|283726501646442429|15060036879049033475|15060036879049033475|36028797019027711,491,0,0.0,0.0,0.0,0.0,0.2227,0.3227,0.1,0.1632,0.0449,0.3027,0.6054,6,0.75,0.0,1.0,3,0.0307,0.5065,0.4495,0.925
128635.987197,37,3,524,484,195,26,522,484,190,26,128635.9348363,128635.6081306,fast,MaskState.CONFIRMED,6,1,1.0,434041176480348415|3235052799|13696255|12648191|12648191,499,0,46.412,13.923,125.311,0.0,0.6989,0.6989,0.15,0.411,0.87,0.4899,0.9797,3,0.375,1.0,1.0,3,0.1232,0.5679,0.5987,0.9103
128635.987197,37,5,1080,486,150,18,1080,486,150,18,128635.8456328,128635.8456328,slow,MaskState.CONFIRMED,2,0,0.7286,161917653495463936|4125078710232938240,500,0,456.518,0.0,50.724,-25.362,0.7286,0.7286,0.0,0.449,0.9966,0.4889,0.9779,3,0.375,1.0,1.0,3,0.124,0.5602,0.2762,0.8983
128636.014632,38,2,108,454,164,52,108,454,164,52,128635.6081306,128635.6081306,slow,MaskState.CONFIRMED,11,10,0.2227,283726501646442429|283726501646442429|15060036879049033475|15060036879049033475|36028797019027711,490,0,0.0,0.0,0.0,0.0,0.2227,0.3227,0.1,0.1632,0.0449,0.3027,0.6054,6,0.75,0.0,1.0,3,0.0307,0.5065,0.4495,0.925
128636.014632,38,3,524,484,195,26,522,484,190,26,128635.9727008,128635.6081306,fast,MaskState.CONFIRMED,7,0,1.0,3235052799|13696255|12648191|12648191|12648191,500,0,46.412,13.923,125.311,0.0,0.6989,0.6989,0.15,0.411,0.87,0.4899,0.9797,3,0.375,1.0,1.0,3,0.1232,0.5679,0.5987,0.9103
128636.014632,38,5,1110,486,153,16,1080,486,150,18,128635.8456328,128635.8456328,slow,MaskState.CONFIRMED,2,1,0.7286,161917653495463936|4125078710232938240,499,0,456.518,0.0,50.724,-25.362,0.7286,0.7286,0.0,0.449,0.9966,0.4889,0.9779,3,0.375,1.0,1.0,3,0.124,0.5602,0.2762,0.8983
128636.041575,39,2,108,454,164,52,108,454,164,52,128635.6081306,128635.6081306,slow,MaskState.CONFIRMED,11,11,0.2227,283726501646442429|283726501646442429|15060036879049033475|15060036879049033475|36028797019027711,489,0,0.0,0.0,0.0,0.0,0.2227,0.3227,0.1,0.1632,0.0449,0.3027,0.6054,6,0.75,0.0,1.0,3,0.0307,0.5065,0.4495,0.925
128636.041575,39,3,524,484,195,26,522,484,190,26,128635.9973016,128635.6081306,fast,MaskState.CONFIRMED,8,0,1.0,13696255|12648191|12648191|12648191|12648191,500,0,46.412,13.923,125.311,0.0,0.6989,0.6989,0.15,0.411,0.87,0.4899,0.9797,3,0.375,1.0,1.0,3,0.1232,0.5679,0.5987,0.9103
128636.041575,39,5,1110,486,153,16,1080,486,150,18,128635.9973016,128635.8456328,fast,MaskState.CONFIRMED,3,0,1.0,161917653495463936|4125078710232938240|35543356180486938,500,0,456.518,0.0,50.724,-25.362,0.7286,0.7286,0.0,0.449,0.9966,0.4889,0.9779,3,0.375,1.0,1.0,3,0.124,0.5602,0.2762,0.8983
128636.070378,40,2,108,454,164,52,108,454,164,52,128635.6081306,128635.6081306,slow,MaskState.CONFIRMED,11,12,0.2227,283726501646442429|283726501646442429|15060036879049033475|15060036879049033475|36028797019027711,488,0,0.0,0.0,0.0,0.0,0.2227,0.3227,0.1,0.1632,0.0449,0.3027,0.6054,6,0.75,0.0,1.0,3,0.0307,0.5065,0.4495,0.925
