timestamp,frame_id,capture_wait_ms,slow_poll_ms,fast_poll_ms,predict_ms,blur_ms,send_ms,detect_age_ms,fast_age_ms,mask_age_avg_ms,slow_updated,fast_updated,predicted,mask_count,jitter_center_px,jitter_corners_px,masks_created,masks_killed,loop_ms
70948.413129,98,0.003,0.005,0.004,0.025,2.192,0.003,0.0,0.0,127.19,0,0,1,5,0.43,0.43,0,0,12.282
70948.44196,99,0.004,0.005,0.09,0.003,0.27,0.005,0.0,94.89,94.89,0,1,0,5,5.61,5.62,0,0,13.086
70948.48493,100,0.003,0.003,0.054,0.002,0.555,0.005,0.0,45.42,45.42,0,1,0,5,0.0,0.0,0,0,13.583
70948.521115,101,0.003,0.006,0.003,0.021,2.628,0.002,0.0,0.0,81.6,0,0,1,5,0.33,0.33,0,0,19.144
70948.551722,102,0.005,0.004,0.003,0.018,2.859,0.002,0.0,0.0,71.03,0,0,1,5,0.31,0.31,0,0,13.831
70948.565686,103,0.006,0.003,0.004,0.023,0.568,0.003,0.0,0.0,85.0,0,0,1,5,0.4,0.4,0,0,14.892
70948.597208,104,0.003,0.221,0.001,0.015,0.221,0.002,269.3,0.0,147.07,1,0,1,5,0.17,0.17,1,1,14.434
70948.625993,105,0.003,0.003,0.003,0.016,0.277,0.003,0.0,0.0,70.04,0,0,1,5,0.29,0.29,0,0,11.572
70948.666982,106,0.003,0.002,0.003,0.016,4.782,0.005,0.0,0.0,68.74,0,0,1,5,0.65,0.65,0,0,20.329
70948.69815,107,0.003,0.021,0.052,0.002,0.499,0.005,0.0,72.72,72.72,0,1,0,5,0.0,0.0,0,0,13.019
70948.726678,108,0.002,0.003,0.003,0.017,0.677,0.003,0.0,0.0,101.25,0,0,1,5,0.36,0.36,0,0,10.33
70948.753789,109,0.003,0.006,0.069,0.011,0.872,0.003,0.0,64.69,90.16,0,1,1,5,0.07,0.07,0,0,13.149
70948.791892,110,0.003,0.007,0.004,0.029,1.926,0.003,0.0,0.0,128.26,0,0,1,5,0.17,0.17,0,0,12.516
70948.820491,111,0.004,0.286,0.001,0.009,0.525,0.005,258.23,0.0,222.06,1,0,1,7,15.44,15.49,2,0,12.134
70948.846889,112,0.005,0.005,0.004,0.031,0.706,0.003,0.0,0.0,108.02,0,0,1,7,5.47,5.47,0,0,14.492
70948.888956,113,0.003,0.007,0.005,0.043,3.545,0.005,0.0,0.0,133.43,0,0,1,7,0.19,0.19,0,0,18.515
70948.907581,114,0.004,0.005,0.003,0.024,4.191,0.004,0.0,0.0,152.05,0,0,1,7,0.09,0.09,0,0,16.856
70948.93702,115,0.003,0.007,0.005,0.042,0.873,0.003,0.0,0.0,71.27,0,0,1,7,0.18,0.18,0,0,16.715
70948.953849,116,0.005,0.005,0.002,0.023,1.01,0.002,0.0,0.0,88.1,0,0,1,7,0.24,0.24,0,0,17.87
70948.996023,117,0.004,0.008,0.098,0.011,0.307,0.003,0.0,91.13,85.49,0,1,1,7,0.16,0.16,0,0,13.802
70949.026342,118,0.004,0.006,0.007,0.047,4.211,0.003,0.0,0.0,115.81,0,0,1,7,0.18,0.18,0,0,21.807
70949.048237,119,0.003,0.007,0.078,0.011,1.216,0.004,0.0,57.71,76.54,0,1,1,7,0.07,0.07,0,0,11.985
70949.060307,120,0.004,0.879,0.002,0.015,1.915,0.004,269.54,0.0,169.66,1,0,1,6,6.27,6.27,1,2,22.02
